st_abbv,state,strucnum,rectype,nicarid,rtsigprf,deslev,rtnum,dirsuff,hwyagncy,cnty,place,feature,strcture,location,invrte,milept,kmpt,basehwy,lrsnvrte,subrtnum,latitude,latmap,longtude,longmap,bylength,toll,mainresp,owner,funclass,year,laneson,lanesun,avgday,avdayno,yravg,designld,approw,apprdno,brimed,skew,strucflr,rail,transit,appguard,guardend,histsig,navcont,vertclr,vertclno,horclear,horclno,strcstat,onserve,undserve,material,construc,materal2,contruc2,numspan,mnspno,numapp,appno,tothorcl,tothorno,maxspan,maxsplgt,strlengt,strlngno,leftwalk,lftwlkno,ritewalk,rtwalkno,roadwid,rdwidno,deckwid,dckwdno,minverto,mvcono,refeat,minvertu,mvcuno,reffeat2,minlatu,mlcurno,minlatl,mlculno,deck,super,substruc,channel,culvert,mthdoprt,oprat,opratno,mthinvrt,invrat,invratno,strceval,deckgeo,undclear,bripost,waterade,rdalign,typeprop,doneby,length,lengno,inspdate,inspmnth,inspyear,inspfreq,inspfrno,critfrac,critund,critoth,critfrdt,critundt,crtothdt,brdimpro,brdgimno,rdimprov,rdimpno,totlcost,totcstno,impcstyr,ngbrstcd,pcntresp,bordbrno,strahwy,parstruc,dirtraf,tempdes,highinv,fedlndhy,yrrecnst,decktype,typewear,membrane,deckpro,avtraff,avtrafno,desnet,pierpro,nbisleng,scour,futdaily,futdlyno,futyear,minnav,minnavno,fedind,wahquse,stat,aster,suffrate,suffrtno,stat2,bridgecond,bridgecondcd
CA,069,37C0822,1,06937C08221,4,0,00000,0,04,085,00000,STEVENS CREEK,STEVENS CANYON RD,1.9 MI NW/O REDWOOD GU RD,3045,0000000,0,0,NA,00,37165999,37.283331,122071899,-122.121942,000,3,02,02,09,2004,01,00,000001,1,2014,5,0340,34,0,00,0,1,0,0,0,5,0,0000,0,00000,0,A,1,5,3,10,0,00,001,1,0000,0,049,4.9,00189,18.9,000195,19.5,000,0,000,0,0049,4.9,0052,5.2,9999,99.99,N,0000,0,N,000,0,000,0,7,7,7,8,N,1,048,4.8,1,288,28.8,7,3,N,5,8,6,35,1,001950,195,0218,02,18,24,24,Y24,N,N,0617,NA,NA,000095,95,000019,19,000159,159,2017,NA,NA,NA,0,N,3,NA,0,0,0000,3,0,0,0,01,1,0,NA,Y,8,000001,1,2036,0000,0,0,6060118,NA,NA,793,79.3,2,G,7
TX,486,180570C02630002,1,486180570C026300021,5,1,00000,0,18,113,27950,SOUTH MESQUITE CRK TRIB,SAMUELL BLVD,0.6 MI W TOWN EAST BLVD,9999,0007884,7.884,NA,NA,NA,32473223,32.792286,096395486,-96.665239,008,3,04,04,19,1991,06,00,010700,10700,2011,0,2010,201,2,45,0,0,0,0,0,5,0,0000,0,00000,0,A,1,5,1,19,0,00,004,4,0000,0,244,24.4,00021,2.1,000128,12.8,000,0,000,0,0000,0,0000,0,9999,99.99,N,0000,0,N,999,99.9,000,0,N,N,N,7,7,5,327,32.7,5,245,24.5,6,N,N,5,7,8,NA,NA,000000,0,0317,03,17,24,24,N,N,N,NA,NA,NA,NA,NA,NA,NA,000000,0,NA,NA,NA,NA,0,N,2,NA,0,0,0000,N,N,N,N,07,7,0,NA,Y,8,018000,18000,2031,NA,NA,4,8050918,NA,*,693,69.3,0,G,7
WI,555,P48005600000000,1,555P480056000000001,5,1,00000,1,08,095,15125,BEAVER BROOK,LRD 50TH STREET,1.3M S JCT CTH P,9999,0000000,0,0,0000000000,00,45204800,45.346667,092154320,-92.262,008,3,03,03,09,1974,02,00,000553,553,2015,2,0730,73,0,00,0,0,N,N,N,5,0,0000,0,00000,0,P,1,5,7,01,0,00,002,2,0000,0,073,7.3,00052,5.2,000011,1.1,002,0.2,002,0.2,0079,7.9,0083,8.3,9999,99.99,N,0000,0,N,000,0,000,0,6,6,6,5,N,1,359,35.9,1,259,25.9,6,5,N,4,8,4,NA,NA,000000,0,0416,04,16,24,24,N,N,N,NA,NA,NA,000000,0,000000,0,000000,0,2017,NA,NA,NA,0,N,2,NA,0,0,0000,8,8,8,0,00,0,0,NA,Y,8,000608,608,2035,0000,0,5,5050318,NA,NA,869,86.9,0,F,6
MN,275,81J10,1,27581J101,4,1,00003,0,07,161,67324,BIG COBB RIVER,20TH ST,2.1 MI S OF JCT TH 30,9999,0000000,0,1,0000000000,00,43514139,43.861497,093433931,-93.727586,006,3,02,02,06,2011,02,00,000563,563,2009,9,1040,104,0,00,0,N,0,0,0,5,0,0000,0,00000,0,A,1,5,1,19,0,00,003,3,0000,0,305,30.5,00037,3.7,000121,12.1,000,0,000,0,0000,0,0000,0,9999,99.99,N,0000,0,N,000,0,000,0,N,N,N,8,8,C,686,68.6,C,408,40.8,8,N,N,5,7,6,NA,NA,NA,NA,1116,11,16,24,24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,2,NA,0,0,NA,N,N,N,N,NA,NA,0,NA,Y,8,000788,788,2029,NA,NA,2,7050517,NA,*,978,97.8,0,G,8
VA,513,000000000021220,1,5130000000000212201,1,1,00264,0,05,740,09900,MCLEAN STREET,IS 264,0.33 MI FROM INT SR 239,9999,0005052,5.052,1,000IS00264,00,36483758,36.810439,076210711,-76.351975,003,3,01,01,11,1964,07,02,048025,48025,2014,6,2560,256,3,01,0,1,1,1,1,5,N,0000,0,00000,0,A,1,1,3,02,0,00,003,3,0000,0,199,19.9,00018,1.8,000405,40.5,000,0,000,0,0199,19.9,0384,38.4,9999,99.99,H,0419,4.19,H,035,3.5,000,0,6,6,6,N,N,3,059,5.9,3,454,45.4,6,2,2,5,N,8,31,1,004570,457,0917,09,17,24,24,N,N,N,NA,NA,NA,001875,1875,000188,188,002100,2100,2012,NA,0,NA,1,N,2,NA,1,0,0000,1,3,0,0,03,3,1,NA,Y,N,037773,37773,2035,NA,NA,5,1050418,NA,NA,657,65.7,2,F,6
TX,486,150070034807025,1,4861500700348070251,3,1,00099,0,15,013,00000,OLMOS CREEK TRIBUTARY,FM 99,1.00 MI SW OF FM 1099,9999,0014317,14.317,NA,NA,NA,28431110,28.71975,098121651,-98.204586,011,3,01,01,07,1965,02,00,001610,1610,2013,5,0790,79,0,00,0,0,0,0,0,3,0,0000,0,00000,0,A,1,5,1,19,0,00,003,3,0000,0,079,7.9,00024,2.4,000076,7.6,000,0,000,0,0079,7.9,0108,10.8,9999,99.99,N,0000,0,N,999,99.9,000,0,N,N,N,7,6,5,444,44.4,5,327,32.7,6,4,N,5,7,3,NA,NA,000000,0,0516,05,16,24,24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,2,NA,0,0,0000,1,6,8,8,23,23,0,NA,Y,8,002250,2250,2033,NA,NA,4,8050918,NA,NA,787,78.7,2,F,6
TX,486,231670102802008,1,4862316701028020081,3,1,00572,0,23,333,00000,DRAW,FM 572,1.05 MI W  OF FM 1047,9999,0026988,26.988,0,NA,NA,31230226,31.383961,098194474,-98.329094,013,3,01,01,08,1958,02,00,000100,100,2013,4,0007,0.7,0,00,0,0,0,0,0,3,0,0000,0,00000,0,A,1,5,1,19,0,00,003,3,0000,0,098,9.8,00024,2.4,000076,7.6,000,0,000,0,0067,6.7,0102,10.2,9999,99.99,N,0000,0,N,999,99.9,000,0,N,N,N,7,7,5,444,44.4,5,327,32.7,7,5,N,5,7,7,NA,NA,000000,0,0516,05,16,24,24,N,N,N,NA,NA,NA,NA,NA,NA,NA,000000,0,NA,NA,NA,NA,0,N,2,NA,0,0,0000,1,6,8,8,03,3,0,NA,Y,8,000140,140,2033,NA,NA,4,8050918,NA,NA,959,95.9,0,G,7
IN,185,040910,1,1850409101,4,2,00000,0,02,151,00000,"I-69 NB/SB, RAMP",CR 400N,00.37 S SR 127,9999,0000000,0,0,NA,NA,41420382,41.701061,085001585,-85.004403,013,3,01,01,09,1966,02,05,000349,349,2016,5,0820,82,0,00,0,1,1,1,1,5,N,0000,0,00000,0,A,5,1,4,02,0,00,002,2,0000,0,085,8.5,00359,35.9,000719,71.9,000,0,037,3.7,0085,8.5,0127,12.7,9999,99.99,H,0518,5.18,H,046,4.6,027,2.7,7,8,7,N,N,1,068,6.8,1,408,40.8,7,6,6,5,N,7,NA,NA,000000,0,0417,04,17,24,24,N,N,N,NA,NA,NA,000000,0,000000,0,000000,0,NA,NA,NA,NA,0,N,2,NA,0,0,2005,1,1,0,1,13,13,0,NA,Y,N,001600,1600,2030,NA,NA,1,8053018,NA,NA,998,99.8,0,G,7
WA,530,079814000000000,1,5300798140000000001,4,1,11750,0,02,025,99025,IRRIGATION LATERAL,N RD SW,N SW @ 12.5,9999,0000001,0.001,0,NA,NA,46542185,46.906069,119472514,-119.790317,006,3,02,02,09,1958,02,00,000074,74,2018,2,0820,82,0,05,0,0,0,0,0,4,0,0000,0,00000,0,P,1,5,7,02,0,00,001,1,0000,0,074,7.4,00067,6.7,000085,8.5,000,0,000,0,0074,7.4,0077,7.7,9999,99.99,N,0000,0,N,000,0,000,0,7,7,7,7,N,4,354,35.4,2,245,24.5,6,6,N,5,8,6,31,1,001280,128,0118,01,18,24,24,N,N,N,NA,NA,NA,000055,55,000005,5,000060,60,2013,NA,NA,NA,0,N,2,NA,0,0,0000,8,6,0,0,15,15,0,NA,Y,8,000141,141,2040,NA,NA,5,3050318,NA,NA,848,84.8,0,G,7
LA,226,080601000002158,1,2260806010000021581,6,0,01553,0,08,043,00000,CREEK,FDR 155,NO DATA ENTERED,9999,0004502,4.502,0,0000000000,00,31413722,31.693672,092354913,-92.596981,008,3,64,64,09,1965,02,00,000015,15,1979,2,0580,58,0,00,0,0,0,0,0,4,0,0000,0,00000,0,A,1,5,5,22,0,00,001,1,0000,0,071,7.1,00067,6.7,000007,0.7,002,0.2,002,0.2,0071,7.1,0076,7.6,9999,99.99,N,0000,0,N,000,0,000,0,7,5,7,6,N,8,201,20.1,8,012,1.2,4,5,N,5,6,8,NA,NA,000000,0,1016,10,16,24,24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,2,NA,0,0,0000,9,2,0,0,NA,NA,0,NA,Y,4,000022,22,2038,0000,0,6,4051618,NA,NA,54,5.4,0,F,5
TN,474,79I02400045,1,47479I024000451,1,1,00240,0,04,157,48000,I-240 EB. / KERR AVE.,I-240 EB,0.2 MI S. OF S. PKWY JCT.,9999,0004973,4.973,1,79I0240001,00,35062610,35.10725,090014600,-90.029444,001,3,01,01,11,1963,04,02,088770,88770,2017,6,1740,174,1,00,0,0,0,0,0,4,N,0000,0,00000,0,A,1,1,5,02,0,00,003,3,0000,0,158,15.8,00158,15.8,000402,40.2,000,0,000,0,0161,16.1,0179,17.9,9999,99.99,H,0455,4.55,H,018,1.8,000,0,5,6,6,N,N,1,054,5.4,1,324,32.4,6,2,4,5,N,8,34,1,004020,402,0117,01,17,24,24,N,N,N,NA,NA,NA,000509,509,000051,51,000764,764,2017,NA,NA,NA,1,R,1,NA,1,0,0000,1,6,0,0,06,6,1,NA,Y,N,165744,165744,2037,NA,NA,4,7052518,NA,NA,674,67.4,2,F,5
CA,069,29 0231L,2,06929 0231L2,5,0,0F119,0,NA,077,75000,CHURCH STREET,ROUTE 5 SB,10-SJ-005-25.99-STKN,0914,0000000,0,NA,NA,NA,37564473,37.945758,121175703,-121.299175,000,3,NA,NA,17,1972,04,02,002000,2000,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,05,NA,NA,NA,NA,NA,NA,122,12.2,00512,51.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,L,NA,NA,0,NA,NA,NA,NA,NA,NA,03,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0,6060118,NA,NA,NA,NA,NA,NA,NA
TX,486,010750069001010,1,4860107500690010101,3,1,00271,0,01,149,00000,BOIS D'ARC BRANCH,FM 271,0.6 MI E OF SH 78,9999,0000801,0.801,NA,NA,NA,33331404,33.5539,096095842,-96.166228,011,3,01,01,07,1985,02,00,000720,720,2013,0,0910,91,0,00,0,0,0,0,0,5,0,0000,0,00000,0,A,1,5,1,19,0,00,003,3,0000,0,122,12.2,00027,2.7,000085,8.5,000,0,000,0,0122,12.2,0126,12.6,9999,99.99,N,0000,0,N,999,99.9,000,0,N,N,N,7,7,5,444,44.4,5,327,32.7,7,8,N,5,6,8,NA,NA,000000,0,1216,12,16,24,24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,2,NA,0,0,0000,1,6,8,8,15,15,0,NA,Y,8,001010,1010,2033,NA,NA,4,8050918,NA,NA,966,96.6,0,G,7
TX,486,210310003919403,2,4862103100039194032,4,1,00000,0,NA,061,18200,ALTAS PALMAS RD,US 83 WB,1.00 MI E OF FM 800,0577,NA,NA,NA,NA,NA,NA,NA,NA,NA,002,3,NA,NA,19,2007,NA,NA,001000,1000,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,02,NA,NA,NA,NA,NA,NA,231,23.1,00341,34.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,2,NA,1,NA,NA,NA,NA,NA,NA,01,1,0,NA,NA,NA,NA,NA,NA,NA,NA,4,8050918,NA,NA,NA,NA,NA,NA,NA
CA,069,57C0015,1,06957C00151,5,0,00000,0,11,073,66000,NAVY ESTUARY,NORTH HARBOR DR,0.4 MI E OF RTE 209,9999,0000000,0,1,0000000000,00,32434048,32.727911,117125627,-117.215631,013,3,04,04,14,1981,06,00,026000,26000,2016,5,0028,2.8,2,00,0,1,0,1,1,5,1,0850,85,03780,378,A,5,5,6,01,0,00,009,9,0000,0,014,1.4,00396,39.6,002079,207.9,034,3.4,015,1.5,0028,2.8,0351,35.1,9999,99.99,N,0000,0,N,000,0,000,0,5,5,7,9,N,A,541,54.1,A,324,32.4,5,9,N,5,9,9,NA,NA,NA,NA,0218,02,18,24,24,N,Y60,N,NA,0216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,N,2,NA,1,0,0000,1,0,0,0,01,1,0,2,Y,5,037533,37533,2036,NA,NA,0,6060118,NA,NA,73,7.3,0,F,5
SD,468,000000025130147,1,4680000000251301471,4,1,00000,0,01,049,08020,SOUTH FORK SNAKE CK,343RD AVE,9W FAULKTON,9999,0000000,0,0,NA,NA,45015680,45.032444,099183042,-99.30845,029,3,02,02,08,1930,02,00,000060,60,2015,5,0730,73,0,00,0,0,0,0,0,5,0,0000,0,00000,0,A,1,5,1,22,0,00,001,1,0000,0,074,7.4,00073,7.3,000076,7.6,000,0,000,0,0074,7.4,0078,7.8,9999,99.99,N,0000,0,N,000,0,000,0,7,7,5,7,N,1,464,46.4,1,279,27.9,5,6,N,5,7,8,NA,NA,NA,NA,0916,09,16,24,24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,2,NA,0,0,1950,2,8,0,0,03,3,1,NA,Y,U,000060,60,2032,NA,NA,4,6050318,NA,NA,828,82.8,0,F,5
KY,214,077B00071N,1,214077B00071N1,3,1,03333,0,10,153,00000,LICK CR.,KY-3333,.45 MI NE OF JCT KY 1081,9999,0000569,0.569,0,NA,NA,37492900,37.824722,083074000,-83.127778,032,3,01,01,09,1958,02,00,000270,270,2015,2,0460,46,0,30,0,0,0,0,0,5,0,0000,0,00000,0,A,1,5,1,04,0,00,003,3,0000,0,073,7.3,00091,9.1,000305,30.5,003,0.3,003,0.3,0073,7.3,0086,8.6,9999,99.99,N,0000,0,N,000,0,000,0,5,7,6,6,N,2,059,5.9,2,354,35.4,6,5,N,5,8,6,NA,NA,000000,0,0116,01,16,24,24,N,N,N,NA,NA,NA,000000,0,000000,0,000000,0,NA,NA,NA,NA,0,N,2,NA,0,0,0000,1,1,0,8,07,7,0,NA,Y,4,000270,270,2035,NA,NA,2,1051118,NA,NA,855,85.5,0,F,5
VA,513,000000000021329,1,5130000000000213291,5,1,00000,0,04,760,10350,ROUTE 195 EXPRESSWAY,ALLEN AVENUE,.02 GRAYLAND .04 PARKWOOD,9999,0000000,0,0,0000000000,00,37324462,37.545728,077275264,-77.464622,002,3,32,32,19,1975,02,08,003300,3300,1990,6,0850,85,0,03,0,1,N,N,N,5,N,0000,0,00000,0,A,5,1,3,02,0,00,002,2,0000,0,085,8.5,00335,33.5,000649,64.9,015,1.5,015,1.5,0085,8.5,0123,12.3,9999,99.99,H,0441,4.41,H,003,0.3,061,6.1,6,7,6,N,N,1,729,72.9,1,441,44.1,6,4,3,5,N,8,38,1,006490,649,0717,07,17,24,24,N,N,N,NA,NA,NA,000125,125,000072,72,000236,236,NA,NA,0,NA,0,N,2,NA,0,0,0000,1,1,0,0,01,1,0,NA,Y,N,006100,6100,2029,NA,NA,5,1050418,NA,NA,786,78.6,2,F,6
SD,468,000000030133290,1,4680000000301332901,4,1,00000,0,01,059,42500,CK,201 ST,3 S & 2.7 W MILLER,9999,0000000,0,0,NA,NA,44281957,44.472103,099021348,-99.037078,006,3,02,02,09,1926,02,00,000010,10,2015,0,0580,58,0,00,0,0,0,0,0,5,0,0000,0,00000,0,P,1,5,2,01,0,00,002,2,0000,0,059,5.9,00003,0.3,000007,0.7,000,0,000,0,0059,5.9,0059,5.9,9999,99.99,N,0000,0,N,000,0,000,0,4,5,4,6,N,0,245,24.5,0,147,14.7,4,4,N,2,6,4,31,1,001460,146,1017,10,17,24,24,N,N,N,NA,NA,NA,000174,174,000022,22,000297,297,2017,NA,NA,NA,0,N,2,NA,0,0,0000,1,8,0,0,02,2,1,NA,Y,U,000010,10,2032,NA,NA,4,6050318,NA,NA,418,41.8,1,P,4
NJ,342,0218161,2,34202181612,2,1,00202,0,NA,003,42750,"US 202, RAMAPO RIVER",NJ 17 NORTHBOUND,0.5 MILES SOUTH OF I-287,0447,0127621,127.621,NA,NA,NA,41055597,41.098881,074093996,-74.1611,002,3,NA,NA,14,1956,04,02,012347,12347,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,3,02,NA,NA,NA,NA,NA,NA,091,9.1,00213,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,R,2,NA,1,NA,NA,NA,NA,NA,NA,04,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,4050418,NA,NA,NA,NA,NA,NA,NA
SC,454,000000000002340,1,4540000000000023401,3,1,00199,0,06,035,00000,BR OF DORCHESTER CR,S-18-199,1.5 MI S SUMR'VL,9999,0000744,0.744,0,NA,NA,32592278,32.989661,080104435,-80.178986,008,3,01,01,16,1999,04,00,028600,28600,2017,5,0850,85,0,00,0,1,0,0,0,4,0,0000,0,00000,0,A,1,5,2,01,0,00,003,3,0000,0,223,22.3,00067,6.7,000201,20.1,015,1.5,015,1.5,0223,22.3,0259,25.9,9999,99.99,N,0000,0,N,999,99.9,000,0,6,6,7,7,N,1,045,4.5,1,324,32.4,6,9,N,5,7,6,NA,NA,002010,201,0517,05,17,24,24,N00,N00,N00,NA,NA,NA,000000,0,000000,0,000000,0,2018,NA,NA,NA,0,N,2,NA,0,0,0000,1,1,8,8,03,3,0,NA,Y,5,034892,34892,2037,0000,0,4,5061518,NA,NA,873,87.3,0,F,6
CT,091,05394,1,091053941,2,1,00006,0,02,015,09190,BLACKWELL BROOK,US ROUTE 6,1 MILE WEST OF ROUTE 169,9999,0171873,171.873,1,NA,NA,41472670,41.79075,071574714,-71.963094,034,3,01,01,02,1985,02,00,009100,9100,2015,5,1220,122,0,00,0,1,1,1,1,5,0,0000,0,00000,0,A,1,5,5,05,0,00,001,1,0000,0,085,8.5,00162,16.2,000168,16.8,000,0,017,1.7,0122,12.2,0148,14.8,9999,99.99,N,0000,0,N,000,0,000,0,7,8,7,8,N,1,766,76.6,1,459,45.9,7,5,N,5,8,8,NA,NA,NA,NA,0317,03,17,48,48,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,2,NA,1,0,2006,9,6,2,0,03,3,0,NA,Y,8,013522,13522,2035,NA,NA,0,9052318,NA,NA,843,84.3,0,G,7
VA,513,000000000012258,1,5130000000000122581,4,1,00639,0,02,121,00000,ELLIOTT CREEK,MT PLESANT RD 639,0.60 RT 637;  1.45 RT 722,9999,0006727,6.727,0,0000000000,00,37070951,37.119308,080163405,-80.276125,006,3,01,01,09,1932,01,00,000210,210,2014,0,0430,43,0,40,0,0,0,0,0,5,0,0000,0,00000,0,P,1,5,3,03,0,00,002,2,0000,0,033,3.3,00155,15.5,000311,31.1,002,0.2,002,0.2,0034,3.4,0039,3.9,9999,99.99,N,0000,0,N,000,0,000,0,4,4,7,6,N,3,109,10.9,3,082,8.2,3,2,N,0,5,3,38,1,004570,457,0517,05,17,12,12,Y12,N,N,0517,NA,NA,000592,592,000207,207,001923,1923,2015,NA,0,NA,0,N,3,NA,0,0,0000,8,6,0,0,00,0,0,NA,Y,5,000276,276,2035,NA,NA,5,1050418,NA,NA,145,14.5,1,P,4
VA,513,000000000019896,1,5130000000000198961,1,7,00000,0,09,510,00250,SHIRLINGTON CIRCLE,BUS RAMP,00.34FR120/00.22TOACL,9999,0000000,0,1,0000000000,00,38503300,38.8425,077045855,-77.082931,000,3,01,01,11,1972,01,00,022500,22500,1988,5,0550,55,0,00,0,1,1,1,1,5,N,0000,0,00000,0,A,1,0,3,02,0,00,005,5,0000,0,054,5.4,00186,18.6,000917,91.7,005,0.5,005,0.5,0055,5.5,0007,0.7,9999,99.99,N,0000,0,N,000,0,000,0,5,6,5,N,N,3,645,64.5,3,498,49.8,5,4,N,5,N,8,35,1,009170,917,0817,08,17,24,24,N,N,N,NA,NA,NA,000077,77,000099,99,000200,200,2013,NA,0,NA,0,N,1,NA,1,0,0000,1,1,0,0,03,3,0,NA,Y,N,015000,15000,2033,NA,NA,5,1050418,NA,NA,86,8.6,0,F,5
CA,069,39C0214,1,06939C02141,4,0,00000,0,10,047,00000,CCID MAIN CANAL,BUNKER ROAD,1.3 MI EAST OF SR 33,9999,0000000,0,0,NA,00,37102368,37.173244,120594416,-120.9956,011,3,02,02,07,1923,02,00,000100,100,2008,0,0550,55,0,15,0,0,0,0,0,5,0,0000,0,00000,0,A,1,5,2,01,0,00,003,3,0000,0,065,6.5,00058,5.8,000171,17.1,003,0.3,003,0.3,0065,6.5,0072,7.2,9999,99.99,N,0000,0,N,000,0,000,0,7,7,7,7,N,1,249,24.9,1,149,14.9,4,5,N,5,9,8,NA,NA,NA,NA,0217,02,17,24,24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,2,NA,0,0,0000,1,0,0,0,05,5,0,NA,Y,5,000256,256,2035,NA,NA,0,6060118,NA,NA,701,70.1,0,G,7
NV,329,I 873,1,329I 8731,8,1,00000,0,03,013,84800,I 80,E WINNEMUCCA BLVD,WINNEMUCCA,9999,0000000,0,0,NA,NA,40591464,40.9874,117413791,-117.693864,003,3,01,01,09,1979,02,04,001800,1800,2014,6,0980,98,0,15,0,1,1,1,1,5,N,0000,0,00000,0,A,1,1,6,06,0,00,003,3,0000,0,011,1.1,00488,48.8,000086,8.6,000,0,000,0,0011,1.1,0012,1.2,9999,99.99,H,0503,5.03,H,091,9.1,091,9.1,7,7,7,N,N,1,905,90.5,1,764,76.4,7,6,6,5,N,8,NA,NA,000000,0,0717,07,17,24,24,N,N,N,NA,NA,NA,000000,0,000000,0,000000,0,NA,NA,NA,NA,0,N,2,NA,0,0,0000,1,6,0,0,37,37,0,NA,Y,N,004000,4000,2034,0000,0,3,2060818,NA,NA,998,99.8,0,G,7
IL,175,058200300000000,1,1750582003000000001,3,1,00048,0,07,115,01410,STREAM,FAP 712(IL 48),NE EDGE OF DECATUR,9999,0094836,94.836,1,0000S04800,00,39532753,39.890981,088544849,-88.913469,000,3,01,01,14,1976,04,00,007350,7350,2017,5,2070,207,3,63,0,N,N,1,1,5,0,0000,0,00000,0,A,1,5,1,19,0,00,002,2,0000,0,274,27.4,00067,6.7,000147,14.7,000,0,000,0,0000,0,0000,0,9999,99.99,N,0000,0,N,000,0,000,0,N,N,N,6,6,6,774,77.4,6,463,46.3,6,N,N,5,6,8,NA,NA,000000,0,1116,11,16,24,24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,N,2,NA,1,0,NA,N,N,N,N,15,15,0,NA,Y,8,008042,8042,2032,0000,0,1,7052118,NA,*,85,8.5,0,F,6
MI,265,000000000008073,1,2650000000000080731,1,1,00075,0,07,125,80700,EAST LONG LAKE RD,I-75 NB,IN TROY,3048,0019601,19.601,1,0000006473,08,42352851,42.591253,083093337,-83.159269,002,3,01,01,11,1964,03,04,056557,56557,2007,6,1640,164,1,00,0,0,1,1,1,5,N,0000,0,00000,0,A,1,1,5,02,0,00,003,3,0000,0,162,16.2,00191,19.1,000402,40.2,008,0.8,008,0.8,0154,15.4,0017,1.7,9999,99.99,H,0475,4.75,H,004,0.4,000,0,7,6,7,N,N,1,089,8.9,1,636,63.6,6,5,6,5,N,7,NA,NA,NA,NA,0717,07,17,24,24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,R,1,NA,1,0,2008,1,3,0,0,07,7,1,NA,Y,N,076150,76150,2029,NA,NA,2,6050318,NA,NA,863,86.3,0,F,6
TX,486,090140001504709,1,4860901400015047091,3,1,00290,0,09,027,42050,IH 35,SP 290,0.86 MI S OF LP 363,0831,0000000,0,NA,NA,NA,31074173,31.128258,097200492,-97.3347,002,3,01,01,17,2016,06,08,004000,4000,2015,0,2440,244,0,20,0,1,1,1,1,5,N,0000,0,00000,0,A,1,1,5,02,0,00,002,2,0000,0,244,24.4,00029,2.9,000579,57.9,025,2.5,025,2.5,0244,24.4,0302,30.2,9999,99.99,H,0833,8.33,H,004,0.4,005,0.5,8,8,8,N,N,5,444,44.4,5,327,32.7,8,5,3,5,N,8,NA,NA,000000,0,0217,02,17,24,24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,N,2,NA,1,0,0000,2,1,8,8,01,1,0,NA,Y,N,006100,6100,2035,NA,NA,4,8050918,NA,NA,946,94.6,2,G,8
